tag_node,vehicle_type,fuel_type,garage_state,region,ownership,fsr_node,exp_node,lob_node
TAG-784,Hd,Diesel,OK,AC,owned,NA,ORG-475,LOB-5
TAG-4180,Med & Heavy Cab And Chassis,Diesel,OK,AC,owned,NA,ORG-551,LOB-5
TAG-3977,Med & Heavy Cab And Chassis,Diesel,OK,AC,owned,NA,ORG-551,LOB-5
TAG-1627,Hd,Diesel,OK,AC,owned,NA,ORG-475,LOB-5
TAG-1355,Ld Suv 4X4,Ethanol / Unleaded Gasoline,OK,AC,owned,NA,ORG-464,LOB-5
TAG-3859,Ld Suv 4X4,Ethanol / Unleaded Gasoline,OK,AC,owned,NA,ORG-464,LOB-5
TAG-3200,Ld Suv 4X4,Ethanol / Unleaded Gasoline,OK,AC,owned,NA,ORG-464,LOB-5
TAG-1843,Med & Heavy Cab And Chassis,Diesel,OK,AC,owned,NA,ORG-464,LOB-5
TAG-1943,Heavy Tractors,Diesel,OK,AC,owned,NA,ORG-475,LOB-5
TAG-1703,Ld Suv 4X2,Gasoline,NJ,AC,leased,FSR-6,ORG-498,LOB-5
TAG-772,Ld Minivan 4X2 (Passenger),Gasoline,VA,AC,leased,FSR-65,ORG-377,LOB-5
TAG-1510,Ld Minivan 4X2 (Passenger),Ethanol / Unleaded Gasoline,CA,AC,leased,FSR-72,ORG-362,LOB-5
TAG-751,Ld Minivan 4X2 (Passenger),Plug-In Hybrid Electric/Gas,OK,AC,leased,FSR-40,ORG-13,LOB-5
TAG-4486,Ld Minivan 4X2 (Passenger),Plug-In Hybrid Electric/Gas,OK,AC,leased,FSR-40,ORG-490,LOB-4
TAG-1660,Ld Minivan 4X2 (Passenger),Ethanol / Unleaded Gasoline,OK,AC,leased,FSR-40,ORG-325,LOB-2
TAG-3216,Ld Minivan 4X2 (Passenger),Ethanol / Unleaded Gasoline,OK,AC,leased,FSR-40,ORG-490,LOB-4
